"_type","author","keywords","text"
"dict","Stephen Chbosky","inspirational,love","“We accept the love we think we deserve.”"
"dict","André Gide","life,love","“It is better to be hated for what you are than to be loved for what you are not.”"
"dict","Marilyn Monroe","attributed-no-source,be-yourself,inspirational","“Imperfection is beauty, madness is genius and it's better to be absolutely ridiculous than absolutely boring.”"
"dict","J.R.R. Tolkien","frost,glitter,gold,lost,poetry,roots,strength,strong,wander,wither","“All that is gold does not glitter”"
"dict","Maurice Switzer","misattributed-to-abraham-lincoln,remaining-silent,wisdom","“It is better to remain silent at the risk of being thought a fool, than to talk and remove all doubt of it.”"
"dict","Albert Einstein","attributed-no-source,inspirational,life,live,miracle,miracles","“There are only two ways to live your life. One is as though nothing is a miracle. The other is as though everything is a miracle.”"
"dict","Jane Austen","aliteracy,books,classic,humor","“The person, be it gentleman or lady, who has not pleasure in a good novel, must be intolerably stupid.”"
"dict","Allen Saunders","fate,life,misattributed-john-lennon,planning,plans","“Life is what happens to you while you're busy making other plans.”"
"dict","John Green","love","“As he read, I fell in love the way you fall asleep: slowly, and then all at once.”"
"dict","J.K. Rowling","abilities,choices","“It is our choices, Harry, that show what we truly are, far more than our abilities.”"
"dict","Mark Twain","individuality,majority,minority,pause,reflect,wisdom","“Whenever you find yourself on the side of the majority, it is time to pause and reflect.”"
"dict","Mark Twain","books,contentment,friends,friendship,life","“Good friends, good books, and a sleepy conscience: this is the ideal life.”"
"dict","William Shakespeare","wisdom","“The fool doth think he is wise, but the wise man knows himself to be a fool.”"
"dict","Eleanor Roosevelt","attributed-no-source,misattributed-eleanor-roosevelt","“A woman is like a tea bag; you never know how strong it is until it's in hot water.”"
"dict","J.K. Rowling","dreams,life","“It does not do to dwell on dreams and forget to live.”"
"dict","Bil Keane","attributed-no-source,hope,inspirational,misattributed-eleanor-roosevelt,past,present,widely-misattributed","“Yesterday is history, tomorrow is a mystery, today is a gift of God, which is why we call it the present.”"
"dict","Gordon A. Eadie","belief,integrity,misattributed-to-malcolm-x,misattributed-to-rosa-parks","“If you don't stand for something you will fall for anything.”"
"dict","Oscar Wilde","inspirational,optimism,perception,pessimism","“We are all in the gutter, but some of us are looking at the stars.”"
"dict","Mark Twain","aliteracy,attributed-no-source,literacy,33874 likes","“The man who does not read has no advantage over the man who cannot read.”"
"dict","Thomas A. Edison","edison,failure,inspirational,paraphrased","“I have not failed. I've just found 10,000 ways that won't work.”"
"dict","Friedrich Nietzsche","friendship,lack-of-friendship,lack-of-love,love,marriage,unhappy-marriage","“It is not a lack of love, but a lack of friendship that makes unhappy marriages.”"
